items	num_genomes_gene_cluster_has_hits	num_genes_in_gene_cluster	max_num_paralogs	SCG	functional_homogeneity_index	geometric_homogeneity_index	combined_homogeneity_index
GC_00000038	26	26	1	1	0.735032910491673	0.905486117662729	0.81140429955781
GC_00000039	26	26	1	1	0.783404163725829	0.949519122852457	0.858499900302779
GC_00000040	26	26	1	1	0.779975874547648	0.930110552966572	0.848452780285066
GC_00000041	26	26	1	1	0.759829326267389	0.901337461973056	0.824556138876303
GC_00000042	26	26	1	1	0.796362373572948	0.927854330708661	0.857094442129248
GC_00000043	26	26	1	1	0.796033626289645	0.986913589854763	0.881255930240605
GC_00000044	26	26	1	1	0.840756323393978	0.999243985632433	0.913174520039508
GC_00000045	26	26	1	1	0.798922576447625	0.951106067241049	0.868397340187038
GC_00000046	26	26	1	1	0.77965162195439	0.89707093123249	0.834249894491153
GC_00000047	26	26	1	1	0.68488523657344	0.90826741839082	0.780915681592985
GC_00000048	26	26	1	1	0.702399183256764	0.902468476952861	0.789963106420709
GC_00000049	26	26	1	1	0.710225342543313	0.939599815476877	0.808967662490369
GC_00000050	26	26	1	1	0.760581781851019	0.774002577814345	0.767233493660379
GC_00000051	26	26	1	1	0.71772767337795	0.951055313297521	0.818079669695856
GC_00000052	26	26	1	1	0.794804978793003	0.903372874175391	0.845618445495661
GC_00000053	26	26	1	1	0.690738390212799	0.865356228297403	0.768249900725235
GC_00000054	26	26	1	1	0.750572951743772	0.985319989643253	0.852073898575514
GC_00000055	26	26	1	1	0.795461301229889	0.992567306355499	0.883150166303014
GC_00000056	26	26	1	1	0.800656385353759	0.940720411663808	0.865055518967784
GC_00000057	26	26	1	1	0.736993645480399	0.965986812032308	0.836094317988223
GC_00000058	26	26	1	1	0.812702791803307	0.985254901960784	0.890698832612782
GC_00000059	26	26	1	1	0.73285952214658	0.985174950710004	0.840489355731785
GC_00000060	26	26	1	1	0.687352240890467	0.926247829975788	0.789115634101332
GC_00000061	26	26	1	1	0.89596167008898	0.998974358974359	0.944668021838343
GC_00000062	26	26	1	1	0.864238246071673	0.927269040042878	0.894644833447782
GC_00000063	26	26	1	1	0.813105809517854	0.974729872490968	0.88661226533132
GC_00000064	26	26	1	1	0.786311093744912	0.964112955017442	0.866181783424899
GC_00000065	26	26	1	1	0.794810553231055	0.967916603944002	0.872863764912037
GC_00000066	26	26	1	1	0.691436928947072	0.929853242509827	0.793115114976275
GC_00000067	26	26	1	1	0.819913898289477	0.96113771286185	0.884926819651421
GC_00000068	26	26	1	1	0.727474996219731	0.929770793198127	0.816276026870604
GC_00000069	26	26	1	1	0.842727885469585	0.942990986658505	0.890044690244609
GC_00000070	26	26	1	1	0.837085574572127	0.903796346104036	0.869162778577008
GC_00000071	26	26	1	1	0.693608603904071	0.954964558889446	0.803569595111912
GC_00000072	26	26	1	1	0.744144606663458	0.992700756456844	0.850637517459784
GC_00000073	26	26	1	1	0.6819803433926	0.941285965606718	0.790922010142421
GC_00000074	26	26	1	1	0.773421706232311	0.846939789331656	0.808512938297063
GC_00000075	26	26	1	1	0.684743528283797	0.886123876123877	0.772525533003049
GC_00000076	26	26	1	1	0.808592879844633	0.958498252326235	0.877187201117793
GC_00000077	26	26	1	1	0.861616294927632	0.968180125545273	0.911795173781454
GC_00000078	26	26	1	1	0.70928178867083	0.963237479031871	0.816979290147048
GC_00000079	26	26	1	1	0.820800749286214	0.920877168509246	0.867963774691117
GC_00000080	26	26	1	1	0.90956716179524	0.993021411578111	0.949463987718131
GC_00000081	26	26	1	1	0.901215295263034	0.924362830152303	0.912642312381295
GC_00000082	26	26	1	1	0.75668703074992	0.978756577181902	0.853513654756362
GC_00000083	26	26	1	1	0.698542710673348	0.944886949142267	0.803251768996019
GC_00000084	26	26	1	1	0.809195653759207	0.940214731585518	0.869798968581588
GC_00000085	26	26	1	1	0.742177107694349	0.981770218458118	0.84532441345746
GC_00000086	26	26	1	1	0.808452633267019	0.96668209074298	0.8805153448047
GC_00000087	26	26	1	1	0.865477377455604	0.944145391628056	0.903101454560961
GC_00000088	26	26	1	1	0.780819874428759	0.987488498815446	0.872077130110878
GC_00000089	26	26	1	1	0.753561083524319	0.999118631798028	0.859138052623136
GC_00000090	26	26	1	1	0.767102954426898	0.983251748251752	0.861831398944522
GC_00000091	26	26	1	1	0.715434139855491	0.946610312764159	0.814944911760125
GC_00000092	26	26	1	1	0.808647954444198	0.977308522637054	0.885014330229258
GC_00000093	26	26	1	1	0.735080711198456	0.95542876549499	0.830894196243394
GC_00000094	26	26	1	1	0.719389239458662	0.904319121738476	0.801323021747231
GC_00000095	26	26	1	1	0.657425451336545	0.775490570036024	0.711594022830189
GC_00000096	26	26	1	1	0.692705406954637	0.969671764713711	0.808116095235262
GC_00000097	26	26	1	1	0.721356617002413	0.96885227880196	0.82698417212987
GC_00000098	26	26	1	1	0.692539691063022	0.904882400075416	0.78459786085716
GC_00000099	26	26	1	1	0.749748623054643	0.986980025677247	0.852161810970608
GC_00000100	26	26	1	1	0.823891645011418	0.945878418256934	0.880680877333088
GC_00000101	26	26	1	1	0.738740492692677	0.981869923554705	0.843127606618693
GC_00000102	26	26	1	1	0.831454398303829	0.971657712985404	0.896105210596039
GC_00000103	26	26	1	1	0.759984969907422	0.870306424140904	0.811412982949666
GC_00000104	26	26	1	1	0.765291796469367	0.788486974216178	0.776716253787349
GC_00000105	26	26	1	1	0.817541165429571	0.98547824600788	0.893688696456634
GC_00000106	26	26	1	1	0.719642055601715	0.896998304725576	0.798591597395578
GC_00000107	26	26	1	1	0.73571186874314	0.975854935029719	0.838936647159007
GC_00000108	26	26	1	1	0.822071197411003	0.915360924600331	0.866211510442568
GC_00000109	26	26	1	1	0.694517339654053	0.942660385591422	0.799783643648163
GC_00000110	26	26	1	1	0.784703592656883	0.953802956625082	0.861029378416301
GC_00000111	26	26	1	1	0.761434687489653	0.934324348775847	0.839066109405328
GC_00000112	26	26	1	1	0.743305589326351	0.942853427274481	0.831271802372998
GC_00000113	26	26	1	1	0.799082988775496	0.968450055660582	0.87565204779971
GC_00000114	26	26	1	1	0.778892106652211	0.880435189891077	0.826556666974122
GC_00000115	26	26	1	1	0.702771467778387	0.974418426040725	0.816596224461632
GC_00000116	26	26	1	1	0.679431380120557	0.968044304768249	0.79845752388258
GC_00000117	26	26	1	1	0.817103393365129	0.970869862700398	0.887374636770695
GC_00000118	26	26	1	1	0.681603332959683	0.85176259163564	0.757241584721467
GC_00000119	26	26	1	1	0.81385139740968	0.91142168674699	0.859877569760042
GC_00000120	26	26	1	1	0.789247533699971	0.979902625122113	0.874301965027866
GC_00000121	26	26	1	1	0.732017032380289	0.983281116233301	0.839245964653373
GC_00000122	26	26	1	1	0.816650446644038	0.98954695334026	0.894823524192423
GC_00000123	26	26	1	1	0.816862803821738	0.955887740943471	0.880923875625521
GC_00000124	26	26	1	1	0.796883137196352	0.911766489782247	0.850462645232864
GC_00000125	26	26	1	1	0.719313430194761	0.743531642862146	0.731222063547546
GC_00000126	26	26	1	1	0.870384727202248	0.936954918719624	0.902443824735129
GC_00000127	26	26	1	1	0.668432914548768	0.977092132354412	0.793814160460796
GC_00000128	26	26	1	1	0.733068247713045	0.935394731361311	0.821963909585185
GC_00000129	26	26	1	1	0.786906248654235	0.929152465657322	0.852133875234635
GC_00000130	26	26	1	1	0.942280359234674	1.0	0.970282539031559
GC_00000131	26	26	1	1	0.867994134208093	0.990274446909723	0.925111062962439
GC_00000132	26	26	1	1	0.766042005648133	0.843511332227751	0.80291233290773
GC_00000133	26	26	1	1	0.849253310791772	0.982264119279418	0.910928874247826
GC_00000134	26	26	1	1	0.763021473290036	0.950392340847871	0.846461909124006
GC_00000135	26	26	1	1	0.791519326911352	0.825421748727925	0.808115121588848
GC_00000136	26	26	1	1	0.71567746010669	0.976082683835988	0.82583855462377
GC_00000137	26	26	1	1	0.749188446318982	0.969708830054469	0.845303162389171
GC_00000138	26	26	1	1	0.721386432616379	0.966611334307676	0.826186285131673
GC_00000139	26	26	1	1	0.70004379886123	0.951389772238934	0.80658952562309
GC_00000140	26	26	1	1	0.694228903976722	0.804487416870268	0.745302376317993
GC_00000141	26	26	1	1	0.883926009815025	0.964464967656457	0.922440848129602
GC_00000142	26	26	1	1	0.720941159129225	0.934263897351309	0.813856016753851
GC_00000143	26	26	1	1	0.801978850608841	0.947349175041486	0.868623827418028
GC_00000144	25	26	2	0	0.696338547518221	0.832562525625258	0.758381807686242
GC_00000145	26	26	1	1	0.679072450166681	0.963309548080191	0.796595403239978
GC_00000146	26	26	1	1	0.723515635762502	0.977484937402195	0.8315407379517
GC_00000147	26	26	1	1	0.718645337563899	0.964867876125314	0.823750945230946
GC_00000148	26	26	1	1	0.755127678041204	0.981648674990415	0.853616049416861
GC_00000149	26	26	1	1	0.797595855520441	0.949754190328687	0.867050088525582
GC_00000150	26	26	1	1	0.807614336895263	0.930273048421936	0.864615115433028
GC_00000151	26	26	1	1	0.786090024959119	0.974117466030435	0.870061088939568
GC_00000152	26	26	1	1	0.672579701587197	0.935245855091785	0.782457245458361
GC_00000153	26	26	1	1	0.747413733250017	0.870727260803987	0.804371825485499
GC_00000154	26	26	1	1	0.823434363836045	0.915943790124571	0.867229004128195
GC_00000155	26	26	1	1	0.860899759249021	0.958289598562222	0.906987808773954
GC_00000156	26	26	1	1	0.716959460152396	0.980654391230978	0.828326703814411
GC_00000157	26	26	1	1	0.717697117566285	0.883936142249709	0.792189369841335
GC_00000158	26	26	1	1	0.881500738815007	0.944283286669147	0.911812572824748
GC_00000159	26	26	1	1	0.72238574479577	0.915825173809583	0.807684825893321
GC_00000160	26	26	1	1	0.923141958627665	0.990876733366456	0.955810820682729
GC_00000161	26	26	1	1	0.74388869260923	0.983396477637232	0.847037342376651
GC_00000162	25	25	1	0	0.848390804597701	1.0	0.917977737702879
GC_00000163	21	25	2	0	0.696887080098254	0.852708256655624	0.76696328784938
GC_00000164	25	25	1	0	0.697698710356626	0.860772256728778	0.770703729635177
GC_00000165	25	25	1	0	0.706320810971974	0.900093964007008	0.791520482145375
GC_00000166	25	25	1	0	0.789079064497855	0.878052893676962	0.831191739231957
GC_00000167	24	25	2	0	0.791204170278543	0.897904988938981	0.841184440787159
GC_00000168	25	25	1	0	0.772379533035271	0.853790140208051	0.811047015147896
GC_00000169	25	25	1	0	0.721041629009061	0.940383546016076	0.816233790248773
GC_00000170	25	25	1	0	0.744042426722042	0.962551569625628	0.839308244658165
GC_00000171	25	25	1	0	0.798261551881097	0.876280322748568	0.835453446602927
GC_00000172	25	25	1	0	0.782969040712054	0.93726570382542	0.853197543354829
GC_00000173	25	25	1	0	0.698349537941679	0.967981751392343	0.811350795784422
GC_00000174	25	25	1	0	0.673381408218747	0.811404992376696	0.735977964484622
GC_00000175	25	25	1	0	0.669790347295418	0.963471571906351	0.790227153611479
GC_00000176	24	24	1	0	0.723106693245694	0.955787334999115	0.82332322067983
GC_00000177	24	24	1	0	0.753008180387695	0.96637550107925	0.846452906913811
GC_00000178	24	24	1	0	0.759447926874161	0.97313323874135	0.853113303320374
GC_00000179	24	24	1	0	0.666078661962629	0.885480140830871	0.760266934565682
GC_00000180	23	23	1	0	0.688988298502026	0.893266706741648	0.777940731862819
GC_00000181	22	22	1	0	0.861164674122638	0.76011912104178	0.80749309543299
GC_00000182	13	22	2	0	0.62794956061442	0.625705791484043	0.626825668121015
GC_00000183	22	22	1	0	0.712301952451858	0.885184685803354	0.789388486737981
GC_00000184	21	22	2	0	0.672169409061123	0.839103616118541	0.746416792188028
GC_00000185	21	21	1	0	0.71163140144944	0.900165509573824	0.794871908158439
GC_00000186	20	20	1	0	0.895839099547929	0.851169590643275	0.872933264643345
GC_00000187	20	20	1	0	0.672195245002207	0.758987779451204	0.712959792905217
GC_00000188	15	19	2	0	0.714296891809949	0.678844241308533	0.69611946709857
GC_00000189	18	18	1	0	0.797233960814445	0.840630611218847	0.818357369964831
GC_00000190	18	18	1	0	0.799156505397491	0.942826019296608	0.865066711172912
GC_00000191	13	17	2	0	0.73210080435514	0.699298739552357	0.715323924602146
GC_00000192	17	17	1	0	0.779225559481743	0.998823529411764	0.875463819746123
GC_00000193	17	17	1	0	0.671626102919405	0.776305833536732	0.720182003759084
GC_00000194	16	17	2	0	0.680714095390354	0.867810928134693	0.762959748070892
GC_00000195	17	17	1	0	0.737807810087819	0.95559043540788	0.832694953315923
GC_00000196	17	17	1	0	0.746502186677818	0.924750726391487	0.826120850991173
GC_00000197	13	17	2	0	0.719879062736206	0.694765444468427	0.707099337590807
GC_00000198	16	16	1	0	0.710148536129168	0.965058789956765	0.818209276302111
GC_00000199	15	16	2	0	0.713038264063261	0.835946509630719	0.769616148847425
GC_00000200	16	16	1	0	0.765267964431627	0.970314820559096	0.855678973090376
GC_00000201	16	16	1	0	0.750227870243044	0.919813400107514	0.826410293487922
GC_00000202	16	16	1	0	0.885817738581774	0.995510679067371	0.937466324531884
GC_00000203	16	16	1	0	0.738374839056141	0.959618063878232	0.834582797427441
GC_00000204	16	16	1	0	0.750625874006617	0.955265060307202	0.840671178183503
GC_00000205	16	16	1	0	0.705876505090554	0.978700262952071	0.82019594980706
GC_00000206	16	16	1	0	0.761867088607595	0.975787610365784	0.855659604002983
GC_00000207	16	16	1	0	0.703985384092454	0.985689812699864	0.821354568862531
GC_00000208	16	16	1	0	0.784728830846864	0.923857461740237	0.848628587231405
GC_00000209	16	16	1	0	0.71576711883215	0.994439785934957	0.832399048848016
GC_00000210	16	16	1	0	0.71485558690294	0.974462719706564	0.824711502486422
GC_00000211	16	16	1	0	0.756179496228906	0.975160303837429	0.851821493700961
